Th,Tc,Tr,Tn,M,Mn,D,Dn,C,N,IFNg,HMGB1,IL10,I2,IL6
6.411517695,0.999289779,0.466123911,1.330638487,1.042606795,0.825592436,42.65625843,0.598406016,0.000619387,0.000619387,0.482321475,0.894540726,0.231121511,0.49478734,0.408296477
1.327267423,0.990365444,0.88031147,0.001350367,2.197288792,1.211860332,1,19.70837308,0.071987032,0.071987032,2.167424612,1.152780636,6.02503828,2.69286168,0.881936819
0.324440736,2.334823739,1.416149397,0.820712623,1.293454809,0.689451689,0.046511045,51.73381361,9.57E-05,0.000573927,1.057723812,0.99130719,1.282843698,0.587731821,0.245193984
0.439835736,0.865086876,0.075264343,2.707823702,1.416479082,0.261802914,15.64576157,1,0.004916483,0.004916483,0.210529308,0.911557861,0.430911277,0.777613568,0.915059942
