,IL12A,IL12B,IL2,IL10,IL6,IFNG,HMGB1
TCGA-B2-4101,0.4624803301691161,0.09505090066240192,0.1819663846929168,0.5233463648970014,0.2409393344359101,0.6518661978499508,4.702442602180021
TCGA-BP-4342,0.2509931494406933,0.11530214041150215,0.1576595510263972,0.3998586987939599,1.3801701990999713,0.3053935861104916,4.410198568835615
TCGA-B0-4691,0.3305340466556998,0.23579898418044365,0.2857603056750534,0.4653171193648427,1.1822786200806752,0.962541263025534,4.2304748234448715
TCGA-BP-4167,0.16299628412507386,0.3392812191801404,0.1958143705691333,0.7734184104399899,0.9946571624252768,1.4696774111990756,4.383016398132666
TCGA-B8-4620,0.1882785175903405,0.04305620849462108,0.21964076036774127,1.349180046529437,5.4796175248925145,0.03909435400531668,4.584388141307309
TCGA-BP-4769,0.09814417510437687,0.04615290006341399,0.02295990783441629,0.3473915468114368,5.517385557067097,0.0,4.6328824154449615
TCGA-CJ-4907,0.1633818546752858,0.1027661639825046,0.017415300327204952,0.20307525026834347,0.29852797812374804,0.31668201317687844,4.751429825933918
TCGA-BP-5168,0.041175034005502806,0.10893847956545454,0.07420437388795513,0.3320240395135532,0.455328134252747,0.0,4.8208479940555815
TCGA-BP-4977,0.07851391908422944,0.1022760589225906,0.16943972246059208,0.4287828255491053,0.280310364088474,0.35730038706984485,4.646351059099499
TCGA-B0-5080,0.4144038229159791,0.06924982586531846,0.29570157969372457,0.6234032975255641,3.793801257914777,0.3857307458015636,4.879828588478516
TCGA-B0-4838,0.5378735677612816,0.12008473230665538,0.17861158338297026,0.20052688870566526,0.2582404435654949,1.3469813643232098,4.818097606536975
TCGA-DV-A4VX,0.050709401566680384,0.0,0.031027283360151037,0.2291925586184824,1.1447178233350015,0.2627026567818335,4.5530086725980725
TCGA-BP-5191,0.15619153787226908,0.4200036547089557,0.5376878435315247,0.3727448659740031,0.2933444064386166,1.0491103371931076,3.4803623147354825
TCGA-CZ-4862,0.4767367902781993,0.5441002803353485,0.08337168910495013,0.9907589457423024,0.7261610217738876,1.8789734494079369,4.741323796332184
TCGA-B0-5697,0.08600221789063232,0.032372090575351745,0.0,0.015152647169341603,0.4788840688879795,0.02452749637351663,4.495034808949608
TCGA-BP-4758,0.3445556541713403,0.3516003983480029,0.035933338755891865,0.5283624342140124,0.8680673492692854,0.9462060770029662,4.330322139136824
TCGA-B8-5552,0.18647584547526214,0.17476081338170368,0.056192041917284635,1.906406786788152,1.861957800781312,0.2856237763239263,4.850370969111588
TCGA-BP-4968,0.14931450873961566,0.317814975891642,0.15954592591803904,0.6002643482039965,1.1007811895804869,1.5944058973585893,4.895667947187492
TCGA-CZ-4856,0.0855003767266973,0.0,0.06284451316569027,0.4154754767936753,0.1405690597067315,0.3047443608985788,4.710040526765635
TCGA-CZ-5454,0.12413830285848527,0.021129610559118963,0.0,0.19428653005003044,1.4912470779233409,0.03574089572956272,4.653807920517417
TCGA-CJ-4634,0.1529349269485772,0.009140561990858144,0.0,0.3998680062436775,1.1180067527537938,0.1941838767445864,4.761498382214316
TCGA-A3-3378,0.07657358299784972,0.14217350722134486,0.02033727672768515,0.8885539016988879,5.899818122327512,0.9358257454804056,4.4339546933522085
TCGA-A3-3365,0.2851540903766223,0.18955244220769926,0.04913511348787618,0.8508523496528559,0.5450394346397728,0.19311372672640628,5.192771617363229
TCGA-B4-5834,0.3193604042939701,0.05046352687790466,0.03575776264433005,0.23567921646165585,0.2915394370063884,0.2857287332087944,5.0854223560250436
TCGA-CJ-4876,0.20542530120774768,0.03787924443227076,0.04658972821217757,0.15238374634666565,0.6075286441996666,1.2552200520020529,4.883542319062999
TCGA-CZ-5458,0.3625796964074901,0.05157851336264176,0.0,0.03619150645189816,1.518619593338196,0.0,4.804182714229423
TCGA-B2-3924,0.39262459881094497,0.06518655916016355,0.0538263290782996,1.0681781648462942,0.16781799170818046,1.5635342914024204,4.73818126449079
TCGA-BP-4962,0.06600808837082993,0.03521236533194412,0.051828567792265,0.4854928389003581,0.15329008701310007,1.1584516687779836,4.181499670745225
TCGA-CZ-4866,0.05552651141610895,0.015600180318764994,0.025572321331998143,0.2227197642585628,0.5643957262466296,0.06941276720206058,4.261304628754347
TCGA-BP-4177,0.12085141306020394,0.1613826811788946,0.0,0.08416877771069538,1.098628323581362,0.017487810945730663,4.572498725054516
TCGA-B8-A54F,0.10854923907628493,0.020675479584348608,0.32112580687958564,0.4031277000042915,0.9005616137856338,0.17744683540368994,4.804632909991586
TCGA-B0-5113,0.3179107615659115,0.22105867309279406,0.2517689216560408,0.6789351888505957,1.340316934450571,0.7976029366081411,4.530116028962994
TCGA-CJ-4642,0.0,0.41704545969052015,0.0,0.0,1.6437028820916195,0.6506404239313063,3.795134528807308
TCGA-BP-4986,0.1896559519421649,0.05999937192568775,0.20332166552317066,0.4598625530987435,1.2388108223937957,0.16047253589245355,4.693433531792664
TCGA-A3-3346,0.1449874865287799,0.06773474060847222,0.042156270377293005,1.081005891663506,4.866346583371231,0.6401125930911427,4.117177972718227
TCGA-B8-4619,0.1774554330541528,1.4027409331451592,0.022769313768766862,0.3950375935883406,0.39871217519693897,0.02093196436997712,4.238010930407366
TCGA-CJ-5672,0.2314524734069137,0.055974812884128484,0.01749665793231898,0.13308755682230836,0.8573379686409675,0.016082411774519526,4.5396563354088215
TCGA-AS-3778,0.16418917033306665,0.08321078622653642,0.041662439533394505,0.7265888990989433,0.4399315222912065,0.03832064484409181,4.4061963823965336
TCGA-BP-5007,0.2275814057349005,0.10534265960647746,0.01786527468909312,0.2513548164469206,0.11219061081008387,0.5210548290549044,4.652215873749821
TCGA-B0-5097,0.2404802951116493,0.08057148656721791,0.4121601010305061,1.6374870815629718,4.6878492992535055,0.2309401016318897,4.634053029387839
TCGA-B0-4703,0.2280640218739281,0.1327884942647419,0.1621341778582419,0.5318493534314198,1.1042477983568864,1.2424007722872052,4.8552072056059
TCGA-B0-4816,0.12636715233137144,0.027613787117723217,0.08352244425152804,0.44800931795198656,0.8319515475701336,0.1356182256273029,4.813347518849504
