Mixture,IL12A,IL12B,IL2,IL10,IL6,IFNG,HMGB1,PDCD1,PDCD2,PDCD1LG2
TCGA-B2-4101-01A,0.03495012430077562,0.0071830963964172176,0.01375139081321494,0.03954983447365374,0.018208038565449763,0.04926221323617967,0.35536852649139894,0.1481231087209824,0.2190565009358452,0.1491016620737889
TCGA-BP-4342-01A,0.01904064378386089,0.008746959779517319,0.011960244161669407,0.03033376434607795,0.10470138002062247,0.0231675266833516,0.3345629956531299,0.10238567847943304,0.1689121610552351,0.13619215269835
TCGA-B0-4691-01A,0.022813910796503984,0.016275167552111322,0.01972356611615023,0.03211682233852765,0.08160248315729514,0.06643591101975861,0.29199314329473763,0.12756810237027924,0.19686262547149094,0.07610674818008414
TCGA-BP-4167-01A,0.010992078819786349,0.02288031241521789,0.013205251928879148,0.052157484287842414,0.06707729557597802,0.09911152288087456,0.2955801230396208,0.22216277684458208,0.18481447668231524,0.1863047098908948
TCGA-B8-4620-01A,0.013418812833780493,0.003068662375909803,0.01565403367184341,0.0961575157652431,0.3905382457239432,0.0027862967372429288,0.32673428287477496,0.057178250662275575,0.15518617507773522,0.115889059242525
TCGA-BP-4769-01A,0.008200389331667472,0.003856283359690255,0.001918404052621348,0.029026133556620256,0.4610024956932107,0.0,0.3870982612476042,0.011696769098033678,0.2260859312619641,0.06911391364956923
TCGA-CJ-4907-01A,0.012494169953924442,0.007858754699915305,0.0013317863389369926,0.015529611261489894,0.022829091407319844,0.024217370416357333,0.36335229445980793,0.04050222140006368,0.18772333699941726,0.11170960851130496
TCGA-BP-5168-01A,0.0029665747749867922,0.007848788794226647,0.005346269385965214,0.023921635138868098,0.03280543635338533,0.0,0.34733197916241343,0.06587626251425867,0.1939168362160781,0.10507751270989237
TCGA-BP-4977-01A,0.005473307173516051,0.007129796773734178,0.01181186290582719,0.02989100712754762,0.01954079919167492,0.02490787359056,0.32390316110906403,0.05416953487406853,0.17617929977639118,0.075841125176963
TCGA-B0-5080-01A,0.032503809676098394,0.00543161774954387,0.023193386102606482,0.048896706578721465,0.2975672211914089,0.030254833701897462,0.38274989495945977,0.07862944671470239,0.22180739348400627,0.10718925146342903
TCGA-B0-4838-01A,0.03831921448930944,0.008555082253441926,0.012724654982422976,0.014285946214402169,0.018397578055355288,0.09596171090435804,0.34325114056777584,0.2472079290961317,0.21328423303307395,0.1549423051781617
TCGA-DV-A4VX-01A,0.0035718300348025257,0.0,0.002185476049414382,0.016143690111394163,0.08063075832960166,0.01850404877056013,0.3207013418235213,0.12887858378665842,0.2057972415317868,0.035019130424350245
TCGA-BP-5191-01A,0.009396478868220086,0.025267408976249,0.032347286724166514,0.02242432147141369,0.017647591884684354,0.06311445068123954,0.20937850660581636,0.13676179139482264,0.1307125338571037,0.06376890587453381
TCGA-CZ-4862-01A,0.03738257580416629,0.0426647793698384,0.006537461659018314,0.07768882567517921,0.0569407899622186,0.14733678801151265,0.3717835498390116,0.24972816144946094,0.22937933856745354,0.21285886138415114
TCGA-B0-5697-11A,0.0058711876051778964,0.0022099734355851266,0.0,0.0010344388369077477,0.032692391877006635,0.001674439755464984,0.3068664192905979,0.03209840626754179,0.18707706698758966,0.033574894719896616
TCGA-BP-4758-01A,0.02311334222343341,0.023585914886399408,0.002410465612276621,0.03544339386728481,0.058231340782677485,0.06347301112866502,0.2904849081066244,0.19466989642648272,0.18045903103803104,0.10134351074105608
TCGA-B8-5552-01B,0.01494743965187902,0.014008391836908685,0.004504214223208298,0.15281282315584815,0.14924990306702304,0.02289489101852632,0.3887936647518209,0.07361593530107399,0.2314695511401111,0.14381359870538812
TCGA-BP-4968-01A,0.010673447319728378,0.022718364285119082,0.011404819596822387,0.0429086895342448,0.07868712917928264,0.11397289851716895,0.34995697585096563,0.18480320214957688,0.1994657952615317,0.0949257987221983
TCGA-CZ-4856-01A,0.0063545204508278705,0.0,0.004670701573751136,0.030878781067153936,0.0104473102792909,0.022649072995251717,0.3500575084859797,0.07503740841166087,0.20349875090224756,0.1163268790251079
TCGA-CZ-5454-11A,0.009273353405982685,0.0015784197264954007,0.0,0.014513551528329562,0.1113988257515226,0.002669908879972718,0.3476477810375471,0.014092927482150368,0.21016160736469888,0.07062712310254482
TCGA-CJ-4634-01A,0.011502412742422106,0.000687472239430942,0.0,0.03007453524236956,0.08408658097645129,0.01460479396567714,0.3581178005402233,0.029749618207007805,0.17562225996840622,0.08601938704151013
TCGA-A3-3378-01A,0.005558176218056426,0.010319817562899508,0.0014762031946582187,0.06449664455459388,0.4282446699575224,0.06792792238702193,0.32184338989625144,0.17996540470134706,0.17854609287169235,0.1978587206742861
TCGA-A3-3365-01A,0.02154411245822093,0.01432116623773282,0.003712282048039796,0.06428404615221138,0.04117910726279764,0.014590230286806812,0.3923270241242974,0.039754852305668456,0.2447061421156297,0.15020094803135836
TCGA-B4-5834-01A,0.025807160508035942,0.004077901707379135,0.0028895451895816038,0.01904497641490786,0.023558978959460058,0.02308942242222845,0.410947347349568,0.044511639375205865,0.21935084493865112,0.15999449673008126
TCGA-CJ-4876-01A,0.014524152715767647,0.002678170252922293,0.003294026215667802,0.010773964016737676,0.0429540020420154,0.08874762563319555,0.34528032340210085,0.1923944056350684,0.17740441188982806,0.05451913782146836
TCGA-CZ-5458-11A,0.027255517728047917,0.003877214028448832,0.0,0.002720555661219021,0.1141563183446228,0.0,0.3611357404560849,0.008428138326545612,0.21159700615951826,0.06769981045238511
TCGA-B2-3924-01B,0.02490987915529597,0.004135729946994753,0.0034149856039948647,0.06777005078955656,0.010647131907158292,0.09919768239674004,0.30061163531728985,0.14921402991378366,0.2225771266212262,0.1894690091758656
TCGA-BP-4962-01A,0.004469927312953439,0.0023845064663394803,0.003509720346155078,0.032876542169383974,0.010380478569466714,0.07844788241580904,0.28316226160595426,0.1453454274456597,0.16017086113489626,0.12103555529291035
TCGA-CZ-4866-01A,0.003829533021725036,0.0010759077808414916,0.0017636629149844212,0.0153604588162825,0.03892504707859082,0.004787235454746868,0.2938921674576916,0.03694589337219037,0.1775036981058826,0.07076901192681949
TCGA-BP-4177-01A,0.00961251150345254,0.012836365252240273,0.0,0.0066947776901255356,0.0873848069379521,0.0013909790512941446,0.36369617434437995,0.019254247098567483,0.23683454375649854,0.05592989755453057
TCGA-B8-A54F-01A,0.008927291960547385,0.0017003900188015393,0.02640998553721536,0.033153974232773026,0.07406386744983177,0.014593558836563263,0.3951419753445337,0.06919812544297582,0.2255508752504372,0.11493859573596255
TCGA-B0-5113-01A,0.024654817742486783,0.01714368292741433,0.019525343672158687,0.05265321393218023,0.10394511205999628,0.061856210642523085,0.3513224418584031,0.11383941438409187,0.2261671893675269,0.15226473301490998
TCGA-CJ-4642-01B,0.0,0.028727605940506926,0.0,0.0,0.11322422432087904,0.0448184754763506,0.26142264998087456,0.07346896151644791,0.15854012003521434,0.0
TCGA-BP-4986-01A,0.014872897441583757,0.004705175324433361,0.015944568298601403,0.03606260979116628,0.09714805215607218,0.01258432200033008,0.36806098017176586,0.058134755290088234,0.2132279039341176,0.13960347385851754
TCGA-A3-3346-01A,0.010819590516959687,0.005054657989471924,0.003145882407679437,0.08066931411972829,0.3631477350649237,0.047767957827316666,0.307241547644976,0.12877341072895002,0.17374475487212407,0.13392163648018302
TCGA-B8-4619-01A,0.011739861837780514,0.09280067939254397,0.0015063421456632654,0.026134374640652217,0.026377472750719267,0.001384789214212932,0.28037272194874513,0.012768929354928536,0.19893975074178105,0.05355755746673774
TCGA-CJ-5672-11A,0.01635018535877124,0.003954153319714317,0.0012359928418197894,0.00940152503432155,0.06056377145621598,0.0011360881552006125,0.3206888284946593,0.019146668555640674,0.1993592424166808,0.0430313521730989
TCGA-AS-3778-01A,0.012951418069525348,0.006563756173002193,0.003286377969379648,0.05731411260448643,0.034702270896417566,0.003022773615719289,0.34756550221360644,0.08237520940611291,0.2039409236329157,0.1172606646352428
TCGA-BP-5007-01A,0.016622647655442174,0.007694274969746009,0.0013048876531257974,0.018359068205960918,0.008194452388246568,0.03805807774399421,0.3397999280155565,0.15069554160754328,0.1930204292252287,0.1127759605873242
TCGA-B0-5097-01A,0.018623672869566517,0.006239750361857611,0.03191918443012503,0.1268129836625965,0.3630441811067733,0.017884845422615297,0.35887800137418463,0.08246278828969518,0.19417025366776666,0.17917086216642053
TCGA-B0-4703-01A,0.019231496977966084,0.011197388808536957,0.013671963363118472,0.04484819284167348,0.0931156875272744,0.10476543604441077,0.40941531213382176,0.14517320662396754,0.2400972713318952,0.1566378574731263
TCGA-B0-4816-01A,0.009105314196120531,0.0019896959234495296,0.006018162816108071,0.03228105981248575,0.05994580155379664,0.009771895087252038,0.3468230523966756,0.07733476441882295,0.21116100450764824,0.0914409436912528
TCGA-BP-4330-01A,0.029502390271076418,0.03446952315252949,0.015071335365520576,0.04112260779571154,0.010591150417555812,0.11492882801578205,0.3485294322018614,0.23515188052926825,0.2144456296175904,0.2016709899340614
TCGA-CW-6097-01A,0.021712601957431948,0.04032660300692135,0.003883392661091972,0.09288351246288994,0.13255420294521902,0.044805250563854974,0.3667342716442837,0.16717161664923366,0.22552783665404685,0.2275072767314433
TCGA-CZ-5462-11A,0.008026452245469487,0.0019086190988439394,0.0,0.0021290748119087034,0.040785484825833995,0.005112590796146343,0.3613315308243027,0.004914131298060268,0.2437320027874899,0.06732309157944574
TCGA-DV-A4W0-05A,0.018025418499971645,0.0,0.0017648055590280434,0.008716852371537671,0.02652062868118837,0.0016223643903171855,0.3905429163178497,0.010776759856578343,0.2235941028230193,0.07736936982301527
TCGA-BP-4325-01A,0.02607906194857036,0.0049042493135808465,0.0015381382665483967,0.045748432211646164,0.03386599566738236,0.1015808659478487,0.3515978903563132,0.20035619488831927,0.16458227205419226,0.12934892226735514
TCGA-CJ-6031-01A,0.008507178622890792,0.02288497876968116,0.00778276984786492,0.061908757757631,0.15868444239662305,0.04031777070199075,0.32733289877185195,0.10951549327168916,0.1816768114320325,0.16149016853518822
